Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/13/2020 11:56:59 PM,White,KH 3,10.94479,42185,547.2397,2109291,50,Win,-
3/14/2020 2:43:29 AM,White,KH 5,28.6531,112267,1633.226,6399250,57,Draw,Threefold Repetition
3/14/2020 7:49:06 AM,Black,AB 2,7.360986,39937,272.3565,1477703,37,Win,-
3/14/2020 9:33:31 AM,Black,AB 2,8.216804,33880,328.6721,1355206,40,Win,-
3/15/2020 9:15:29 AM,Black,KH 5,9.2872,63325,204.3184,1393163,23,Lose,-
3/16/2020 4:53:27 AM,Black,AB 2,13.9181,62665,654.1508,2945281,48,Draw,Threefold Repetition
3/16/2020 9:30:59 AM,White,AB 2,20.34864,74070,223.835,814777,11,Win,-
3/16/2020 9:51:36 AM,White,AB 4,10.48879,50823,734.2151,3557678,70,Win,-
3/16/2020 9:51:36 AM,Black,AB 4,7.24664,34776,500.0181,2399557,70,Lose,-
3/16/2020 11:57:45 AM,White,AB 5,27.16641,119943,787.8259,3478349,29,Draw,Threefold Repetition
3/16/2020 12:02:03 PM,Black,KH 2,6.852015,39948,253.5246,1478098,37,Win,-
3/16/2020 1:56:00 PM,White,KH 3,7.994606,35684,407.7249,1819884,51,Win,-
3/16/2020 8:03:41 PM,White,KH 2,11.64042,49118,325.9318,1375314,28,Win,-
3/17/2020 1:00:28 AM,Black,KH 3,7.796164,33381,491.1583,2103060,63,Win,-
3/17/2020 1:26:28 AM,Black,KH 4,5.624218,28719,382.4469,1952901,69,Lose,-
3/18/2020 6:39:59 AM,White,KH 4,8.040816,40289,506.5714,2538229,63,Win,-
3/18/2020 6:45:18 AM,Black,KH 2,7.661961,46175,314.1404,1893180,41,Win,-
3/18/2020 3:10:52 PM,Black,KH 4,10.66586,43006,351.9735,1419198,33,Draw,Threefold Repetition
3/18/2020 3:56:50 PM,Black,KH 4,5.919967,26610,461.7574,2075644,78,Draw,Threefold Repetition
3/19/2020 12:22:53 AM,White,AB 4,8.696509,48615,217.4127,1215397,25,Draw,Threefold Repetition
3/19/2020 12:22:53 AM,Black,AB 4,7.389127,36857,184.7282,921426,25,Draw,Threefold Repetition
3/19/2020 2:04:02 AM,White,AB 5,21.01794,109036,672.5742,3489166,32,Draw,Threefold Repetition
3/19/2020 6:45:05 AM,White,KH 3,16.87492,76380,742.4965,3360747,44,Win,-
3/19/2020 6:54:45 AM,Black,AB 3,10.92178,56682,535.1671,2777421,49,Win,-
3/19/2020 7:00:09 AM,White,KH 3,16.6646,84891,299.9629,1528038,18,Win,-
3/19/2020 7:13:59 AM,White,AB 4,12.35952,57726,444.9426,2078141,36,Draw,Threefold Repetition
3/19/2020 7:13:59 AM,Black,AB 4,9.632322,47647,346.7636,1715296,36,Draw,Threefold Repetition
3/19/2020 7:21:21 AM,Black,AB 2,13.64322,60773,436.5829,1944744,32,Win,-
3/19/2020 2:20:43 PM,White,AB 3,19.22208,83854,576.6624,2515633,30,Win,-
3/19/2020 4:47:30 PM,White,KH 5,24.12963,86403,1061.704,3801761,44,Draw,Threefold Repetition
