Time Stamp,Color,Versus,Average Time/Match (s),Average Tree's Node/Match,Total Time/Match (s),Total Tree's Node per Match,Total Turn,Status,Notes
3/14/2020 2:43:29 AM,Black,AB 4,146.5717,593110,8354.585,33807278,57,Draw,Threefold Repetition
3/14/2020 3:36:04 AM,White,KH 4,113.6398,563119,2954.635,14641106,26,Win,-
3/14/2020 4:19:47 AM,White,AB 3,57.67866,393636,1672.681,11415470,29,Win,-
3/14/2020 7:44:28 AM,Black,AB 5,288.5301,1024537,6059.132,21515282,22,Draw,Threefold Repetition
3/14/2020 11:34:16 AM,Black,AB 3,166.7418,799915,5835.964,27997036,35,Win,-
3/15/2020 1:42:33 AM,White,AB 5,349.7268,1878941,8393.442,45094590,24,Draw,Threefold Repetition
3/15/2020 8:39:34 AM,Black,KH 3,204.5251,950260,6749.329,31358608,34,Lose,-
3/15/2020 9:15:29 AM,White,AB 4,84.77377,529717,1949.797,12183495,23,Win,-
3/16/2020 12:12:25 PM,White,KH 2,47.74963,290712,620.7452,3779261,13,Win,-
3/16/2020 1:31:11 PM,White,KH 4,74.23136,421816,4453.882,25308997,60,Draw,Threefold Repetition
3/16/2020 5:08:26 PM,White,KH 5,369.0041,1579215,5904.065,25267446,16,Draw,Threefold Repetition
3/16/2020 5:08:26 PM,Black,KH 5,283.5014,1257998,4536.022,20127971,16,Draw,Threefold Repetition
3/16/2020 7:51:27 PM,White,AB 3,141.8014,980013,4112.239,28420384,29,Draw,Threefold Repetition
3/16/2020 8:18:27 PM,White,AB 2,49.04179,291643,637.5433,3791365,13,Win,-
3/17/2020 1:12:03 AM,White,AB 2,56.71879,340836,567.1879,3408361,10,Win,-
3/17/2020 12:07:41 PM,White,AB 5,366.0546,1538506,19034.84,80002332,52,Win,-
3/17/2020 2:01:07 PM,Black,AB 2,147.7499,915842,6796.496,42128756,46,Win,-
3/17/2020 3:10:50 PM,White,KH 3,147.7608,947399,4137.302,26527192,28,Draw,Perpetual Check
3/17/2020 4:26:53 PM,Black,AB 2,166.8246,1079575,4504.264,29148538,27,Win,-
3/18/2020 3:44:42 AM,White,KH 5,334.3943,1344951,15382.14,61867783,46,Win,-
3/18/2020 3:44:42 AM,Black,KH 5,254.6022,1127943,11457.1,50757477,46,Lose,-
3/18/2020 6:19:07 AM,White,KH 2,61.03155,377561,732.3786,4530743,12,Win,-
3/18/2020 10:57:40 AM,White,AB 3,192.6736,922732,3853.471,18454651,20,Win,-
3/19/2020 4:47:30 PM,Black,AB 4,122.2303,447381,5255.904,19237384,44,Draw,Threefold Repetition
3/22/2020 12:10:44 AM,White,KH 5,430.1051,1584514,20645.05,76056681,48,Win,-
3/22/2020 12:10:44 AM,Black,KH 5,367.9231,1375027,17292.39,64626287,48,Lose,-
3/22/2020 1:28:20 AM,Black,KH 2,169.8594,986387,4416.345,25646073,26,Win,-
3/23/2020 12:49:30 AM,Black,KH 3,74.47499,352949,5287.725,25059438,71,Draw,Threefold Repetition
3/23/2020 1:15:54 AM,White,KH 2,87.88113,475637,1581.86,8561473,18,Win,-
3/23/2020 5:25:15 PM,Black,KH 3,128.3067,548254,5773.801,24671435,45,Draw,Threefold Repetition
